Address,Date,Price,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking,Zipcode,Exterior,KitchenApp,KitchenWall,KitchenFloor,KitchenFurn,LivingWall,LivingFloor,LivingFurn,BedWall,BedFloor,BedFurn,BathWall,BathFloor,BathFurn,Student Housing
Johnson City,112917,650,850,20,10,0,0,1,0,13790,2,2,3,3,2,3,3,2,3,3,2,3,3,2,1
Owego,121217,650,600,10,10,0,3,1,4,13827,3,2,2,3,2,3,3,2,3,3,2,3,3,2,2
"Cortland, NY",0,875,700,10,10,0,1,1,4,13045,2,2,2,3,2,3,3,2,3,2,1,3,3,2,0
Campville,121217,1100,2120,30,15,0,2,1,2,13760,2,2,2,3,2,3,3,1,2,2,1,3,3,2,2
4 CLARKE STREET,120817,900,800,20,10,1,1,1,4,13905,2,2,2,3,2,3,3,2,3,3,3,3,2,2,1
Airport Rd Area,111917,2400,2000,30,25,0,4,0,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,1
Owego,112817,997,1344,30,20,0,4,10,4,13827,2,2,2,3,2,3,2,1,3,3,1,3,3,2,2
Murray Street,121017,3400,3000,80,30,0,3,0,4,13905,2,2,2,3,2,3,2,3,2,2,2,3,3,2,1
9 kattelville rd,121217,725,800,20,10,0,1,9,4,13901,2,2,2,3,2,3,3,2,3,2,1,3,3,2,2
Owego,112817,997,1344,30,20,0,4,10,4,13827,1,2,2,3,3,3,2,2,2,3,1,2,3,2,2
2002 Union Center Main Hgwy,113017,420,144,10,10,1,0,1,4,13760,1,1,2,1,2,3,3,2,2,1,2,2,1,1,2
121 East Main St,120117,650,154,10,10,1,0,1,4,13760,1,2,2,2,2,3,3,2,3,2,2,2,2,1,2
,112717,695,750,20,10,0,0,1,0,13901,2,2,2,3,2,3,2,1,3,2,2,3,3,2,0
Binghamton,121117,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2
Sherrill,120617,1196,1697,30,20,0,4,0,0,13068,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"Sidney, NY",121117,1000,1300,30,10,0,4,0,2,13838,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"1 Jay St. Binghamton, NY",120217,850,1100,10,10,0,1,1,7,13901,2,2,3,3,3,3,3,1,3,3,1,3,3,3,1
NORWICH,121117,700,460,10,10,1,0,1,4,13815,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
,121117,2750,1900,50,20,1,3,0,4,13905,2,2,2,3,3,3,2,3,3,2,2,3,3,2,1
ENDICOTT,121117,795,1080,30,10,0,4,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
"231 Ackley Ave, Johnson City NY",121117,950,1100,30,15,0,3,1,4,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,2,2
101 Park,121117,900,1810,30,20,1,2,0,2,13905,2,2,3,3,2,3,3,2,3,3,1,3,3,2,1
55 CLEVELAND,121117,1200,2442,40,15,1,2,0,4,13905,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1
Conklin Ave,120517,1400,1400,40,15,1,4,0,4,13903,3,2,2,3,3,3,2,3,3,2,3,3,3,3,1
OAK MURRAY CHAPIN,111317,1700,2000,40,10,1,3,1,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1
Endicott,111617,675,800,30,10,0,0,1,4,13760,3,2,2,3,2,3,3,2,3,3,1,3,3,2,2
Owego,120617,550,800,20,10,0,2,1,4,13827,2,2,2,3,2,3,3,1,3,3,1,3,3,2,2
16 GOETHE,121117,1300,1800,40,20,1,2,0,4,13905,2,2,2,3,2,3,3,2,3,2,2,3,3,2,1
6 Catherine Street,121117,1500,1800,50,25,1,2,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,1
16 Elisabeth ln,112617,1250,1725,30,30,0,4,0,1,13903,3,2,2,3,2,3,3,1,3,2,1,3,3,2,2
Binghamton,121117,1000,1100,30,10,0,4,0,4,13903,2,2,2,3,2,3,3,2,3,2,2,3,3,2,2
Endicott,121117,525,550,10,10,0,4,1,4,13760,2,2,2,3,2,3,3,2,3,3,2,3,3,2,1
Victor,120417,889,1606,30,20,0,4,1,0,14469,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Marcy,120417,1122,1810,30,20,0,4,1,0,13045,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
Apalachin,120617,725,880,30,15,0,4,10,4,13850,2,2,2,3,2,3,2,1,3,3,2,3,3,2,1
46 North Street Between Walnut and Mather,111217,700,1000,20,10,0,5,1,4,13905,2,2,3,3,2,3,3,1,3,3,1,3,3,2,2
Endicott,113017,495,500,10,10,0,1,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
51 sherman,112817,1400,2000,40,20,0,3,0,4,13790,2,3,2,3,3,3,3,3,3,3,2,3,3,3,1
Binghamton,121017,900,1100,30,10,0,4,1,4,13903,2,3,2,3,3,3,2,3,3,2,2,3,3,3,2
14 Schubert Street,120517,2000,2000,60,20,1,1,0,4,13905,2,2,3,3,2,3,2,2,3,2,2,3,3,2,1
Norwich,112817,1275,2300,40,25,0,4,0,4,13815,3,2,2,3,3,3,3,3,3,2,2,3,3,2,2
"231 Ackley Ave, Johnson City NY",121017,950,1100,30,15,0,3,1,0,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,3,2
Endicott,112917,1700,2044,30,20,0,3,0,2,13760,2,3,3,3,2,3,3,3,3,2,1,3,3,2,2
"Binghamton, NY",0,800,1738,30,20,0,0,0,0,13905,3,2,2,3,3,3,3,2,3,3,2,3,3,2,0
,121117,750,1010,20,10,0,0,1,4,13903,2,2,2,3,3,3,2,1,3,3,1,3,3,3,2
Conklin Ave,112217,1600,2100,40,20,0,0,0,0,13903,2,2,2,3,2,3,3,1,3,3,2,3,3,2,1
Johnson City,120917,1375,2268,40,25,0,4,0,2,13790,3,2,3,3,2,3,3,2,3,2,1,3,3,2,2
Binghamton,120917,1200,1454,40,15,0,4,0,3,13903,2,2,2,3,3,3,2,1,3,2,1,3,3,2,2
Endicott,120917,925,1362,30,10,0,4,0,3,13760,2,2,2,3,2,3,3,1,3,3,2,3,3,2,2
142 Temple STreet,120917,950,900,30,15,0,0,1,0,13827,3,2,2,3,2,3,3,1,3,2,1,3,3,2,2
128 HAWLEY STREET,120217,1500,1500,40,20,1,3,1,4,13901,3,2,2,3,2,3,3,3,3,3,2,2,3,2,1
Cortland,111217,950,1100,30,10,0,0,1,0,13045,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0
150 MURRAY ST,0,1400,1350,40,10,1,3,1,4,13905,3,3,3,3,2,3,3,1,3,3,2,3,3,2,0
"231 Ackley Ave, Johnson City NY",110917,950,1100,30,15,0,0,0,0,13790,2,3,2,3,2,3,3,2,3,3,3,3,3,2,2
Johnson City,120917,650,850,20,10,0,2,1,4,13790,2,2,2,3,3,3,2,1,3,2,1,3,3,3,1
8 Edwards,120617,1100,1000,20,10,1,3,1,4,13905,2,3,2,3,2,3,3,2,3,3,3,3,3,3,1
"Oak, Murray, Chapin, Walnut, St John, Chestnut, Leroy, Semin",112817,3150,3500,70,50,1,3,0,4,13905,2,3,2,3,3,3,3,3,3,3,2,3,3,3,1
Westside,120817,2250,2200,50,20,1,2,4,4,13905,2,2,2,3,2,3,3,3,3,3,3,3,3,3,1
Goethe St,120817,1155,1350,30,10,1,1,4,3,13905,3,2,3,3,3,3,3,2,3,3,2,3,3,2,1
TOWN OF CHENAGO,120817,725,850,20,10,0,2,9,4,13901,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2
34 Mozart St,120617,900,1250,30,10,0,1,1,4,13905,3,2,2,3,3,3,3,2,3,3,1,3,3,2,2
