Address,Date,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking
97 Chapin St.at Leroy 2017-18,,3500,70,30,1,3,0,4
"Grand Ave., J/C",,500,10,10,0,5,1,4
"Multiple Westside Locations Available Oak, Murray, Chapin, L",,3500,70,40,1,3,0,4
Binghamton,,802,10,10,0,1,1,4
Windsor Schools,,800,20,10,0,1,1,4
Between Binghamton and Windsor NY,,800,20,10,0,1,1,4
Kirkwood just outside of Binghamton NY,,800,20,10,0,1,1,4
Goethe St,12132017,,30,10,1,1,0,4
404 WEST MAIN STREET ENDICOTT,12132017,,20,10,0,4,1,4
Fallsburg,12132017,1724,30,20,0,4,1,0
Johnson City,12132017,700,20,10,0,5,1,0
317 Vestal Rd,12132017,,20,10,0,1,1,3
Binghamton,12132017,,60,20,1,3,0,4
Endicott,12132017,,10,10,0,0,1,0
8670 State Route 434,12132017,,20,10,0,1,1,4
Winding Way,12132017,,20,10,0,5,1,4
binghamton,12132017,1200,30,10,0,1,1,0
Binghamton,12132017,,50,20,0,3,1,4
164 Chapin St,12132017,,20,10,0,2,1,4
103 Murray,12132017,,10,10,0,2,1,4
Norwich,12132017,,20,10,0,0,1,4
128 Chapin St,12132017,,30,10,0,2,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,10,0,1,1,4
Between Binghamton and Windsor,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Windsor Schools,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,15,0,1,1,4
Between Binghamton and Great Bend PA,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
Kirkwood,12132017,800,20,10,0,1,1,4
DOWNTOWN AND PRIME WEST SIDE,12132017,,0,30,1,3,0,4
"Endicott, NY",12132017,,30,15,0,4,1,2
37 Brook Ave,12132017,,30,10,0,0,0,0
johnson city,12132017,,30,10,0,5,1,0
2700 East Main Street,12132017,,30,10,0,4,1,4
205 Cleveland Avenue,12132017,,10,20,0,5,1,4
Maine,12132017,,20,10,0,4,1,4
West Side,12132017,,30,20,1,0,1,0
West Side,12132017,,20,10,1,0,1,0
West Side,12132017,,10,10,1,1,1,4
West Side,12132017,,30,10,1,0,1,0
West Side,12132017,,30,10,0,0,1,0
139 MURRAY ST.,12132017,,30,10,1,1,1,4
139 MURRAY ST.,12132017,,30,10,1,1,1,4
MURRAY ST.,12132017,,30,10,0,1,1,4
"2901 North St, Endwell, NY",12132017,,20,10,0,2,1,4
Seminary Ave area,12132017,,50,20,1,3,0,4
walk to downtown,12132017,,20,10,1,5,1,4
"KIRKWOOD, NY",12132017,,10,10,0,0,1,4
227 Mathers Street,12142017,,0,10,0,0,0,0
142 MURRAY STREET,12142017,,10,10,1,5,1,0
West End,12142017,,50,20,1,3,0,4
"Casterline Ave, Endicott",12142017,,20,10,0,4,4,2
,12142017,1302,40,20,1,3,1,4
Between Binghamton and Great Bend PA,12142017,800,20,10,0,1,1,4
Windsor Schools,12142017,800,20,10,0,1,1,4
Kirkwood,12142017,800,20,10,0,1,1,4
113 W. Union St,12142017,,30,10,0,0,1,0
Harpursville NY,12142017,,20,10,0,4,10,4
Windsor Schools,12142017,800,20,10,0,1,1,4
Kirkwood,12142017,800,20,10,0,1,1,4
Kirkwood,12142017,800,20,10,0,0,1,0
R-E-N-T,12142017,,30,20,0,0,0,0
106 MAIN STREET,12142017,,10,10,0,0,0,0
,12142017,1260,20,20,0,0,1,0
Kirkwood,12142017,800,20,10,0,1,1,4
Marathon,12142017,,10,10,0,5,1,4
1104 Jenkins ST.,12142017,,30,10,0,4,1,4
Great Bend,12142017,,20,10,0,4,1,2
Kirkwood,12142017,800,20,10,0,1,1,4
Between Binghamton and Great Bend PA,12142017,800,20,10,0,1,1,4
Windsor Schools,12142017,800,20,10,0,1,1,4
Between Binghamton and Windsor,12142017,800,20,10,0,1,1,4
Schiller Street,12142017,,70,25,1,3,0,4
Beethoven,12142017,,30,10,1,3,0,4
